family,rule,auc,pr_auc,tpr@5fpr
singleton,rel_spread_mean,0.5645325965934502,0.05081509522895472,0.038817005545286505
singleton,rel_spread_std,0.6145506432933214,0.06596154789520978,0.09796672828096119
singleton,imbalance_mean,0.5118340909275207,0.0487321992182564,0.06469500924214418
singleton,imbalance_std,0.6134709013603648,0.08807054222917896,0.14972273567467653
singleton,bid_depth_mean,0.46609966827426885,0.04243795556234543,0.04251386321626617
singleton,ask_depth_mean,0.4510467774438743,0.040287832461584724,0.03512014787430684
singleton,log_total_volume,0.5399831176527019,0.04760507763497905,0.05545286506469501
singleton,log_max_step_volume,0.5742776615210239,0.05412564847957506,0.08872458410351201
singleton,realised_vol_bps,0.6223300791132438,0.07882346592365257,0.14417744916820702
singleton,up_move_freq,0.5293772580369016,0.050901556929063736,0.08317929759704251
singleton,abs_return_mean_bps,0.6069242104396677,0.0749867833924143,0.1367837338262477
singleton,range_bps,0.6259052994260399,0.07548218272440503,0.11460258780036968
fixed,equal (sign(mu)),0.6354266740169291,0.08180033320458116,0.14048059149722736
fixed,"expert (1,0.8,...)",0.6355805950009952,0.08214253905288707,0.1423290203327172
fisher,Fisher w*,0.6751785276861162,0.10095557104143721,0.16820702402957485
ml,logistic,0.6752300896857487,0.10042886233057632,0.16820702402957485
ml,random forest,0.7592746190570397,0.154681310891653,0.2643253234750462
ml,xgboost,0.745103178315318,0.14900925457446434,0.2532347504621072
